P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
11 Com b,4.191425871296591,326.03,11 Com,-0.35,2.7,19.0,4742.0,1.3244178,799.44963,722.98875,914.73942,163.5468,0.0
11 UMi b,4.191425871296591,516.21997,11 UMi,-0.02,2.78,29.79,4213.0,1.534896,819.07569,788.47184,854.2877,250.49294,0.0
14 And b,4.191425871296591,185.84,14 And,-0.24,2.2,11.0,4813.0,0.83,772.30746,772.30746,772.30746,58.175144,0.0
14 Her b,4.191425871296591,1773.4,14 Her,0.41,0.9,0.93,5338.0,3.1305585,131.38424,113.25125,167.00637,0.62917118,0.0
16 Cyg B b,4.191425871296591,798.5,16 Cyg B,0.06,1.08,1.13,5750.0,2.043792,202.22783,161.33012,369.65374,1.2505956,0.0
18 Del b,4.191425871296591,993.3,18 Del,-0.052,2.3,8.5,4979.0,2.60832,396.65045,381.83005,413.70243,39.782769,0.0
1RXS J160929.1-210524 b,4.191425871296591,2309.3421610400937,1RXS J160929.1-210524,0.014020760003518647,0.85,1.5371422191458501,4060.0,330.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
24 Boo b,4.191425871296591,30.3506,24 Boo,-0.77,0.99,10.64,4893.0,0.19016758,1613.7579,1581.0749,1648.935,58.139697,0.0
24 Sex b,4.191425871296591,452.8,24 Sex,-0.03,1.54,4.9,5098.0,1.3383987,430.60546,412.65453,451.62624,14.530486,0.0
24 Sex c,4.191425871296591,883.0,24 Sex,-0.03,1.54,4.9,5098.0,2.167464,343.04216,303.66058,409.31164,14.530486,0.0
2MASS J01225093-2439505 b,4.191425871296591,2309.3421610400937,2MASS J01225093-2439505,0.014020760003518647,0.4,1.5371422191458501,3530.0,52.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
2MASS J02192210-3925225 b,16.1424,2309.3421610400937,2MASS J02192210-3925225,0.014020760003518647,0.11,0.28,3064.0,156.0,5.7216666,5.7216666,5.7216666,0.006190985,0.0
2MASS J04414489+2301513 b,4.191425871296591,2309.3421610400937,2MASS J04414489+2301513,0.014020760003518647,0.02,1.5371422191458501,5490.154056235356,15.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
2MASS J12073346-3932539 b,4.191425871296591,2309.3421610400937,2MASS J12073346-3932539,0.014020760003518647,0.02,1.5371422191458501,5490.154056235356,46.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
2MASS J19383260+4603591 b,4.191425871296591,416.0,2MASS J19383260+4603591,0.014020760003518647,0.48,1.5371422191458501,5490.154056235356,0.92,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
